Experiment,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,TER
EXPERIMENT 90 - P1,0.08,0.33,0.26,0.22,0.44,4.01
EXPERIMENT 90 - P2,0.06,0.43,0.36,0.23,0.4,3.02
