Experiment,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,TER
EXPERIMENT 31.1 - P1,0.31,0.57,0.41,0.51,0.44,0.61
EXPERIMENT 31.1 - P2,0.63,0.76,0.66,0.43,0.58,0.98
EXPERIMENT 31.1 - Whole,0.98,1.0,0.97,0.47,0.69,0.77
