Experiment,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,TER
EXPERIMENT 20 - P1,0.21,0.54,0.25,0.52,0.5,0.52
EXPERIMENT 20 - P2,0.18,0.52,0.2,0.47,0.44,0.58
EXPERIMENT 20 - Whole,0.19,0.54,0.22,0.49,0.44,0.55
